obj_1,obj_2,obj_3,odd,reason_for_similarity
Deforestation,Global Warming,Ocean Acidification,Deforestation,Ocean Acidification and Global Warming are both caused by increased CO2
Sea Urchin,Sea Cucumber,Sea Otter,Sea Otter,Sea Urchin and Sea Cucumber are both echinoderms
Hydrothermal Vent,Cold Seep,Geysers,Geysers,Hydrothermal Vents and Cold Seeps are both types of seafloor springs
Pelican,Dolphin,Seagull,Dolphin,Seagull and Pelican are both birds
Mangrove Forest,Rainforest,Coral Reef,Rainforest,Mangrove Forest and Coral Reef are both marine ecosystems
Jellyfish,Octopus,Squid,Jellyfish,Octopus and Squid are both cephalopods
Atlantic Gyre,Amazon Basin,Pacific Gyre,Amazon Basin,Pacific Gyre and Atlantic Gyre are both oceanic gyres
Tuna,Mackerel,Salmon,Salmon,Tuna and Mackerel are both types of saltwater fish
Sea Anemone,Sea Sponge,Sea Star,Sea Star,Sea Sponge and Sea Anemone are both sessile creatures
Drought,Hurricane,Flood,Hurricane,Flood and Drought are related to rainfall pattern
Drought,Tsunami,Flood,Drought,Tsunami and Flood are caused by excess water
Dust storm,Sandstorm,Flood,Flood,Dust storm and Sandstorm are caused by wind
Wildfire,Heatwave,Avalanche,Avalanche,Heatwave and Wildfire are related to high temperatures
Blizzard,Ice storm,Earthquake,Earthquake,Blizzard and Ice storm are cold weather events
Tornado,Mudslide,Landslide,Tornado,Mudslide and Landslide are caused by gravitational pull
Ice storm,Heatwave,Hailstorm,Heatwave,Hailstorm and Ice storm are cold weather events
Tornado,Thunderstorm,Flood,Flood,Thunderstorm and Tornado are atmospheric disturbances
Dust storm,Blizzard,Sandstorm,Blizzard,Sandstorm and Dust storm are caused by wind
Avalanche,Earthquake,Landslide,Earthquake,Landslide and Avalanche involve mass movement of land
Tsunami,Flood,Earthquake,Earthquake,Flood and Tsunami involve large amounts of water
Landslide,Wildfire,Avalanche,Wildfire,Avalanche and Landslide involve mass movement of land
Tsunami,Heat Wave,Volcanic Eruption,Heat Wave,Tsunami and Volcanic Eruption are caused by tectonic activities
Blizzard,Heat Wave,Drought,Blizzard,Drought and Heat Wave are caused by high temperatures
Earthquake,Volcanic Eruption,Landslide,Landslide,Earthquake and Volcanic Eruption are caused by tectonic activities
Heat Wave,Wildfire,Avalanche,Avalanche,Heat Wave and Wildfire are caused by high temperatures
Tsunami,Earthquake,Blizzard,Blizzard,Earthquake and Tsunami are caused by tectonic activities
Volcanic Eruption,Tornado,Earthquake,Tornado,Volcanic Eruption and Earthquake are caused by tectonic activities
Aurora Borealis,Solar Eclipse,Lunar Eclipse,Aurora Borealis,Both Solar and Lunar Eclipses are shadow phenomena
Tornado,Hurricane,Drought,Drought,Tornado and Hurricane are types of storms
Flood,Earthquake,Volcanic Eruption,Flood,Eruption and Earthquake are caused by tectonic activity
Blizzard,Thunderstorm,Heatwave,Heatwave,Thunderstorm and Blizzard are types of precipitation events
Hailstorm,Snowfall,Sandstorm,Sandstorm,Hailstorm and Snowfall are types of cold weather phenomena
Solar Flare,Lightning,Thunder,Solar Flare,Lightning and Thunder both occur during storms
Avalanche,Tidal Wave,Landslide,Tidal Wave,Landslide and Avalanche are gravity driven movements
Rainbow,Meteor Shower,Comet,Rainbow,Meteor Shower and Comet are space related phenomena
Volcanic Eruption,Fog,Wildfire,Fog,Wildfire and Volcanic Eruption involve fire
Drought,Tidal Wave,Tsunami,Drought,Tsunami and Tidal Wave are large water movements
Landslide,Earthquake,Blizzard,Blizzard,Earthquake and Landslide are caused by ground movement
Thunderstorm,Solar Eclipse,Comet,Thunderstorm,Solar Eclipse and Comet are celestial events
Avalanche,Solar Eclipse,Lunar Eclipse,Avalanche,Lunar and Solar Eclipses are caused by alignment of celestial bodies
Earthquake,Aurora Borealis,Rainbow,Earthquake,Rainbow and Aurora Borealis are light phenomena
Wildfire,Snowfall,Heatwave,Snowfall,Wildfire and Heatwave are heat related phenomena
Heatwave,Drought,Tsunami,Tsunami,Drought and Heatwave are dry weather phenomena
Dew,Landslide,Fog,Landslide,Fog and Dew are formed due to condensation
Thunder,Meteor Shower,Lightning,Meteor Shower,Thunder and Lightning occur together during a storm
Tsunami,Flood,Solar Eclipse,Solar Eclipse,Flood and Tsunami result from water displacement
Tsunami,Lunar Eclipse,Tidal Wave,Lunar Eclipse,Tidal Wave and Tsunami are sea related phenomena
Blizzard,Sandstorm,Dust Devil,Blizzard,Sandstorm and Dust Devil are dry weather phenomena
Volcanic Eruption,Wildfire,Dew,Dew,Volcanic Eruption and Wildfire involve intense heat
Earthquake,Aurora Borealis,Rainbow,Earthquake,Aurora Borealis and Rainbow are caused by light refraction
Blizzard,Snowfall,Hurricane,Hurricane,Blizzard and Snowfall occur in cold temperatures
Dew,Tornado,Fog,Tornado,Dew and Fog are formed by water condensation
Lunar Eclipse,Dust Devil,Tornado,Lunar Eclipse,Dust Devil and Tornado are wind phenomena
Flood,Meteor Shower,Comet,Flood,Comet and Meteor Shower are space phenomena
Landslide,Solar Flare,Aurora Borealis,Landslide,Solar Flare and Aurora Borealis are solar phenomena
Rigel,Polaris,Proxima Centauri,Rigel,Polaris and Proxima Centauri are the closest stars to Earth
Antares,Betelgeuse,Spica,Spica,Betelgeuse and Antares are red supergiants
Vega,Deneb,Altair,Deneb,Vega and Altair are part of the Summer Triangle
Canopus,Arcturus,Procyon,Canopus,Procyon and Arcturus are in the northern celestial hemisphere
Pollux,Castor,Aldebaran,Aldebaran,Castor and Pollux are twin stars in the Gemini constellation
Proxima Centauri,Sirius,Rigel,Rigel,Sirius and Proxima Centauri are among the brightest stars in the night sky
Capella,Vega,Spica,Spica,Capella and Vega are among the brightest stars in the northern hemisphere
Betelgeuse,Deneb,Antares,Deneb,Antares and Betelgeuse are among the most luminous stars
Regulus,Sirius,Vega,Regulus,Sirius and Vega are among the most visible stars from Earth
Procyon,Aldebaran,Rigel,Rigel,Aldebaran and Procyon are part of the Winter Triangle
Deneb,Canopus,Altair,Canopus,Altair and Deneb are part of the Summer Triangle
Betelgeuse,Antares,Spica,Spica,Antares and Betelgeuse are red supergiants
Canopus,Arcturus,Capella,Canopus,Capella and Arcturus are in the northern celestial hemisphere
Polaris,Regulus,Rigel,Regulus,Polaris and Rigel are in the same Milky Way galaxy
Canopus,Procyon,Antares,Antares,Procyon and Canopus are among the brightest stars in the southern hemisphere
Proxima Centauri,Betelgeuse,Spica,Proxima Centauri,Spica and Betelgeuse are blue giants
Castor,Aldebaran,Vega,Vega,Aldebaran and Castor are part of the Winter Triangle
Large Magellanic Cloud,Sombrero,Virgo A,Large Magellanic Cloud,Sombrero and Virgo A are elliptical galaxies
Tadpole,Sculptor,Small Magellanic Cloud,Tadpole,Small Magellanic Cloud and Sculptor are dwarf galaxies
Denim,Wool,Leather,Leather,Denim and Wool are both woven materials.
Silk,Spandex,Nylon,Silk,Nylon and Spandex are both elastic materials.
Polyester,Wool,Cashmere,Polyester,Wool and Cashmere are both natural materials.
Leather,Cotton,Linen,Leather,Linen and Cotton are both plant-based materials.
Rayon,Polyester,Silk,Silk,Rayon and Polyester are both synthetic materials.
Wool,Spandex,Nylon,Wool,Spandex and Nylon are both synthetic materials.
Cotton,Satin,Chiffon,Cotton,Chiffon and Satin are both silky materials.
Leather,Silk,Rayon,Leather,Silk and Rayon are both shiny materials.
Wool,Cashmere,Denim,Denim,Cashmere and Wool are both animal-based materials.
Nylon,Polyester,Silk,Silk,Polyester and Nylon are both synthetic materials.
Leather,Denim,Silk,Silk,Leather and Denim are both sturdy materials.
Cotton,Wool,Linen,Wool,Cotton and Linen are both plant-based materials.
Denim,Spandex,Rayon,Denim,Spandex and Rayon are both stretchy materials.
Wool,Cashmere,Leather,Leather,Wool and Cashmere are both warm materials.
Denim,Satin,Silk,Denim,Silk and Satin are both smooth materials.
Leather,Polyester,Cotton,Leather,Polyester and Cotton are both breathable materials.
Silk,Leather,Denim,Silk,Leather and Denim are both durable materials.
Polyester,Rayon,Wool,Wool,Rayon and Polyester are both synthetic materials.
Denim,Cotton,Linen,Denim,Cotton and Linen are both lightweight materials.
Silk,Satin,Leather,Leather,Silk and Satin are both shiny materials.
Wool,Cashmere,Nylon,Nylon,Wool and Cashmere are both insulating materials.
Polyester,Linen,Spandex,Linen,Polyester and Spandex are both wrinkle-resistant.
Casual,Athletic,Streetwear,Athletic,"Streetwear and Casual are both everyday, relaxed styles"
Retro,Minimalist,Vintage,Minimalist,Vintage and Retro both draw inspiration from past fashion trends
Punk,Grunge,High Fashion,High Fashion,Punk and Grunge both originated from music subcultures
Bohemian,Smart Casual,Business Casual,Bohemian,Business Casual and Smart Casual are both semi-formal styles
Punk,Gothic,Preppy,Preppy,"Gothic and Punk are both dark, rebellious styles"
Elegant,Indie,Hipster,Elegant,"Indie and Hipster are both unconventional, unique styles"
Chic,Hipster,Glam,Hipster,Chic and Glam are both focused on high fashion and elegance
Rocker,Bohemian,Punk,Bohemian,Rocker and Punk are both inspired by music genres
High Fashion,Country,Western,High Fashion,Western and Country both draw inspiration from rural life
Safari,Military,Streetwear,Streetwear,"Military and Safari are both inspired by functional, practical clothing"
Ivy League,Grunge,Preppy,Grunge,Preppy and Ivy League are both inspired by collegiate style
Punk,Retro,Mod,Punk,Mod and Retro are both inspired by specific periods in the 20th century
Athletic,Chic,Sporty,Chic,Sporty and Athletic are both inspired by sportswear
Maritime,Nautical,Grunge,Grunge,Nautical and Maritime are both inspired by sea and sailors
Elegant,Hip Hop,Streetwear,Elegant,Hip Hop and Streetwear are both inspired by urban culture
Dapper,Classy,Grunge,Grunge,Dapper and Classy are both focused on being well-dressed and elegant
Casual Chic,Smart Casual,Gothic,Gothic,Casual Chic and Smart Casual are both relaxed yet stylish styles
Business Casual,Boho Chic,Hippie,Business Casual,"Boho Chic and Hippie are both inspired by free-spirited, natural aesthetics"
Jungle,Safari,Punk,Punk,"Safari and Jungle are both inspired by wild, natural environments"
Kawaii,Grunge,Lolita,Grunge,Kawaii and Lolita are both inspired by Japanese fashion
Sporty,Pin-up,Rockabilly,Sporty,Rockabilly and Pin-up are both inspired by 1950s American culture
Punk,Kawaii,Harajuku,Punk,"Harajuku and Kawaii are both colorful, playful Japanese styles"
Glam,Normcore,Minimalist,Glam,Normcore and Minimalist are both based on simplicity and functionality
Conservative,Grunge,Modest,Grunge,Modest and Conservative are both focused on covering the body
Flapper,Roaring 20s,Punk,Punk,Flapper and Roaring 20s are both inspired by the 1920s fashion
Hipster,High Fashion,Beatnik,High Fashion,Beatnik and Hipster are both counterculture styles
Goth,Preppy,Emo,Preppy,"Emo and Goth are both dark, emotional styles"
Casual,New Romantic,Glam Rock,Casual,"New Romantic and Glam Rock are both extravagant, theatrical styles"
Futuristic,Vintage,Cyberpunk,Vintage,Cyberpunk and Futuristic are both inspired by visions of the future
Garlic Press,Cheese Grater,Pizza Cutter,Cheese Grater,Garlic Press and Pizza Cutter both have a cutting function.
Frying Pan,Whisk,Saucepan,Whisk,Frying Pan and Saucepan are both used for cooking on a stove.
Ladle,Ice Cream Scoop,Cutting Board,Cutting Board,Ice Cream Scoop and Ladle are both used for serving.
Oven,Blender,Toaster,Blender,Toaster and Oven are both used for heating food.
Measuring Cup,Measuring Spoon,Potato Masher,Potato Masher,Measuring Cup and Measuring Spoon are both used for measuring.
Blender,Spatula,Tongs,Blender,Tongs and Spatula are both used for flipping food.
Peeler,Knife,Spoon,Spoon,Peeler and Knife are both used for cutting/skinning.
Ladle,Meat Tenderizer,Rolling Pin,Ladle,Rolling Pin and Meat Tenderizer are both used for flattening.
Grater,Coffee Maker,Kettle,Grater,Coffee Maker and Kettle are both used to heat water.
Corkscrew,Spatula,Can Opener,Spatula,Corkscrew and Can Opener are both used to open things.
Baking Sheet,Mixing Bowl,Muffin Tin,Mixing Bowl,Muffin Tin and Baking Sheet are both used for baking.
Whisk,Sieve,Colander,Whisk,Colander and Sieve are both used for straining.
Wok,Frying Pan,Pizza Cutter,Pizza Cutter,Wok and Frying Pan are both used for frying.
Tongs,Juicer,Blender,Tongs,Juicer and Blender are both used to process fruits.
Rice Cooker,Slow Cooker,Cheese Grater,Cheese Grater,Rice Cooker and Slow Cooker are both used for slow cooking.
Ladle,Potato Peeler,Apple Corer,Ladle,Potato Peeler and Apple Corer are both used for peeling.
Knife,Salad Spinner,Pasta Strainer,Knife,Salad Spinner and Pasta Strainer are both used for straining.
Garlic Press,Frying Pan,Lemon Squeezer,Frying Pan,Garlic Press and Lemon Squeezer are both used for pressing.
Egg Beater,Saucepan,Whisk,Saucepan,Egg Beater and Whisk are both used for mixing.
Spatula,Bread Knife,Steak Knife,Spatula,Bread Knife and Steak Knife are both used for cutting.
Stock Pot,Dutch Oven,Ladle,Ladle,Dutch Oven and Stock Pot are both used for simmering.
Garlic Press,Spoon,Nutcracker,Spoon,Nutcracker and Garlic Press are both used for crushing.
Cutting Board,Melon Baller,Ice Cream Scoop,Cutting Board,Ice Cream Scoop and Melon Baller are both used for scooping.
Pastry Brush,Knife,Basting Brush,Knife,Pastry Brush and Basting Brush are both used for brushing.
Masher,Ricer,Spatula,Spatula,Masher and Ricer are both used for processing potatoes.
Bottle Opener,Can Opener,Ladle,Ladle,Can Opener and Bottle Opener are both used for opening.
Paring Knife,Spoon,Chef's Knife,Spoon,Paring Knife and Chef's Knife are both used for cutting.
Frying Pan,Cheese Grater,Zester,Frying Pan,Zester and Cheese Grater are both used for grating.
Mortar and Pestle,Garlic Press,Spoon,Spoon,Mortar and Pestle and Garlic Press are both used for crushing.
Axolotl,Tiger Salamander,Green Tree Frog,Green Tree Frog,Axolotl and Tiger Salamander are both neotenic salamanders.
Green Frog,Pickerel Frog,Tiger Salamander,Tiger Salamander,Green Frog and Pickerel Frog are both types of frogs.
Japanese Giant Salamander,Chinese Giant Salamander,Bullfrog,Bullfrog,Japanese Giant Salamander and Chinese Giant Salamander are both types of giant salamanders.
European Fire-bellied Toad,Oriental Fire-bellied Toad,Red Salamander,Red Salamander,European Fire-bellied Toad and Oriental Fire-bellied Toad are both fire-bellied toads.
Common Frog,Leopard Frog,Red Salamander,Red Salamander,Common Frog and Leopard Frog are both types of frogs.
Fire Salamander,Smooth Newt,Great Crested Newt,Fire Salamander,Smooth Newt and Great Crested Newt are both types of newts.
Japanese Giant Salamander,Chinese Giant Salamander,Axolotl,Axolotl,Japanese Giant Salamander and Chinese Giant Salamander are both giant salamanders.
Tiger Salamander,Marbled Salamander,Marsh Frog,Marsh Frog,Tiger Salamander and Marbled Salamander are both from the Ambystoma genus.
Hellbender,Axolotl,Leopard Frog,Leopard Frog,Hellbender and Axolotl are both types of aquatic salamanders.
Wood Frog,Spring Peeper,Marbled Salamander,Marbled Salamander,Wood Frog and Spring Peeper are both types of frogs.
Poison Dart Frog,Amazon Horned Frog,Tiger Salamander,Tiger Salamander,Poison Dart Frog and Amazon Horned Frog are both from South America.
Spotted Salamander,Marbled Salamander,American Toad,American Toad,Spotted Salamander and Marbled Salamander are both mole salamanders.
Green Tree Frog,Gray Tree Frog,Marbled Salamander,Marbled Salamander,Green Tree Frog and Gray Tree Frog are both tree frogs.
Natterjack Toad,Common Midwife Toad,Axolotl,Axolotl,Natterjack Toad and Common Midwife Toad are both types of toads.
Spotted Salamander,Toad,Glass Frog,Glass Frog,Both are types of salamanders
